Country Name,Country Code,Indicator Name,Indicator Code,2011
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,244895101712.45
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,25099681460.89
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,10465400000.00
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,7589010905.93
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,45525572705267.10
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,167775274725.28
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,185362855081.02
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,2051661732059.78
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,6491683831.51
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,2272006394117.54
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,671238840106.67
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,67327289319.73
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,14390776643.97
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,275599459373.51
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,886498370.70
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,2942546781.05
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,23139040000.00
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,2054489852.65
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,46466728666.61
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1536165615273.11
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,17826697892.27
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1537231271077.74
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,469661737452.91
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,233213522.65
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,4422276621.79
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,98181259740.09
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,51290792018.11
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,563109663291.18
Swaziland,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4820499924.25
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1065826669.90
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,12156380425.08
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,9612569408675.61
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,4420592112570.70
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,3756023159.96
